year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
1980,Star Wars: Episode V - The Empire Strikes Back,1980_star_wars_episode_v__the_empire_strikes_back.jpg,1101823,290480000,"Action, Adventure, Fantasy",PG,124,8.7,NA,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
1980,Superman II,1980_superman_ii.jpg,94018,108190000,"Action, Adventure, Sci-Fi",PG,127,6.8,NA,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth."
1980,Nine to Five,1980_nine_to_five.jpg,25807,103290000,Comedy,PG,109,6.8,58,"Three female employees of a sexist, egotistical, lying, hypocritical bigot find a way to turn the tables on him."
1980,Stir Crazy,1980_stir_crazy.jpg,23761,101300000,"Comedy, Crime",R,111,6.8,56,"Set up and wrongfully accused, two best friends will be sent to prison for a crime they didn't commit. However, no prison cell could keep them locked in."
1980,Airplane!,1980_airplane.jpg,198432,83400000,Comedy,PG,88,7.7,NA,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
1980,Any Which Way You Can,1980_any_which_way_you_can.jpg,16564,70690000,"Action, Comedy",PG,116,6.2,51,"A trucker turned prize fighter, his brother and their pet orangutan have a series of misadventures involving the mob, corrupt cops, motorcycle gangs and pretty dames."
1980,Private Benjamin,1980_private_benjamin.jpg,22414,69850000,"Comedy, War",R,109,6.2,59,A sheltered young high society woman joins the United States Army on a whim and finds herself in a more difficult situation than she ever expected.
1980,Smokey and the Bandit II,1980_smokey_and_the_bandit_ii.jpg,14080,66129999.99999999,"Action, Comedy",PG,100,5.3,41,"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail."
1980,The Blue Lagoon,1980_the_blue_lagoon.jpg,59821,58850000,"Adventure, Drama, Romance",R,104,5.8,NA,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene."
1980,The Blues Brothers,1980_the_blues_brothers.jpg,173179,57230000,"Adventure, Comedy, Crime",R,133,7.9,60,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised."
1980,Ordinary People,1980_ordinary_people.jpg,44028,54800000,Drama,R,124,7.7,NA,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
1980,Urban Cowboy,1980_urban_cowboy.jpg,12420,53300000,"Drama, Romance, Western",PG,132,6.3,NA,Bud is a young man from the country who learns about life and love in a Houston bar.
1980,Popeye,1980_popeye.jpg,28060,49820000,"Adventure, Comedy, Family",PG,114,5.3,NA,The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.
